Activated as <IOR:010000001600000049444c3a53696d706c655f5365727665723a312e3000000001000000000000006c000000010102000b00000031302e302e312e3133350000393000001b00000014010f0052535469a8db6060040d000000000001000000010000000002000000000000000800000001000000004f4154010000001800000001b747620100010001000000010001050901010000000000>
-1214531305	-1214160035		0.433878 0.226158 0.056917 0.870266	-0.034209 1.184905 0.164815
-1214517380	-1214160024		0.438763 0.223266 0.054100 0.868742	-0.032575 1.185069 0.167018
-1214503394	-1214160014		0.443853 0.219966 0.050857 0.867193	-0.030913 1.185218 0.169368
-1214489529	-1214160004		0.449988 0.216317 0.047928 0.865113	-0.029271 1.185370 0.171805
-1214475599	-1214159990		0.456558 0.212219 0.045786 0.862799	-0.027591 1.185560 0.174372
-1214461696	-1214159979		0.463504 0.207041 0.044759 0.860404	-0.025814 1.185709 0.176942
-1214447750	-1214159969		0.470013 0.201884 0.044113 0.858129	-0.023883 1.185614 0.179481
-1214433852	-1214159959		0.476195 0.196389 0.043219 0.856038	-0.021943 1.185331 0.181911
-1214419869	-1214159948		0.481939 0.191334 0.042085 0.854023	-0.019958 1.185069 0.184297
-1214405996	-1214159938		0.487757 0.186448 0.040361 0.851881	-0.017939 1.184811 0.186860
-1214392086	-1214159927		0.493743 0.180821 0.038812 0.849715	-0.015965 1.184563 0.189474
-1214378151	-1214159917		0.499810 0.175168 0.037298 0.847417	-0.013962 1.184272 0.192195
-1214364232	-1214159901		0.505868 0.169387 0.035799 0.845058	-0.011968 1.183799 0.194867
-1214350301	-1214159890		0.511664 0.163608 0.034299 0.842767	-0.009910 1.183258 0.197509
-1214336332	-1214159875		0.517072 0.157723 0.032704 0.840649	-0.007872 1.182626 0.200095
-1214322468	-1214159864		0.522231 0.152023 0.031063 0.838570	-0.005811 1.181999 0.202669
-1214308535	-1214159853		0.527126 0.145693 0.029580 0.836682	-0.003677 1.181363 0.205359
-1214294623	-1214159843		0.532459 0.139355 0.027719 0.834446	-0.001545 1.180720 0.208036
-1214280699	-1214159833		0.538494 0.133503 0.024912 0.831613	0.000442 1.180041 0.210673
-1214266772	-1214159823		0.543669 0.127492 0.022797 0.829247	0.002432 1.179395 0.213309
-1214252843	-1214159813		0.549167 0.121674 0.020562 0.826552	0.004453 1.178794 0.215958
-1214238915	-1214159803		0.554812 0.116130 0.018490 0.823623	0.006502 1.178143 0.218611
-1214224985	-1214159793		0.560342 0.110500 0.016354 0.820695	0.008482 1.177361 0.221255
-1214211017	-1214159783		0.565134 0.105233 0.014297 0.818135	0.010487 1.176661 0.223912
-1214197152	-1214131432		0.569875 0.100693 0.012112 0.815449	0.012480 1.175756 0.226598
-1214183224	-1214131409		0.574419 0.096240 0.009770 0.812826	0.014395 1.174769 0.229241
-1214169270	-1214131396		0.578936 0.091721 0.007652 0.810162	0.016221 1.173950 0.231824
-1214155359	-1214131385		0.583887 0.087408 0.006012 0.807093	0.017923 1.173289 0.234317
-1214141447	-1214131375		0.588904 0.083253 0.005027 0.803888	0.019623 1.172507 0.236717
-1214127527	-1214131365		0.594072 0.079276 0.003966 0.800487	0.021373 1.171625 0.239063
-1214113585	-1214131355		0.598757 0.074907 0.002696 0.797416	0.023032 1.170775 0.241243
-1214099670	-1214131345		0.602814 0.071135 0.001669 0.794703	0.024662 1.170025 0.243139
-1214085677	-1213497568		0.606226 0.067794 0.000559 0.792397	0.026174 1.169349 0.244947
-1214071829	-1213497516		0.608985 0.065136 -0.000071 0.790503	0.027668 1.168580 0.246656
-1214057905	-1213497495		0.612113 0.062353 -0.000444 0.788308	0.028993 1.167853 0.248191
-1214043979	-1213497482		0.615251 0.060006 -0.000362 0.786044	0.030352 1.167252 0.249529
-1214030048	-1213497471		0.617779 0.056877 -0.000415 0.784292	0.031857 1.166697 0.250891
-1214016141	-1213497461		0.619840 0.053422 -0.000696 0.782907	0.033281 1.166174 0.252042
-1214002155	-1213497451		0.621361 0.049890 -0.001178 0.781933	0.034539 1.165817 0.252760
-1213988288	-1213497440		0.621839 0.047805 -0.002458 0.781681	0.035798 1.165632 0.253324
-1213974356	-1213497430		0.621834 0.046232 -0.003923 0.781773	0.037068 1.165531 0.253957
-1213960458	-1213497419		0.621978 0.044837 -0.005640 0.781730	0.038268 1.165454 0.254724
-1213946518	-1213497404		0.622635 0.043634 -0.007208 0.781262	0.039464 1.165441 0.255302
-1213932593	-1213497393		0.623051 0.041999 -0.009151 0.780999	0.040662 1.165430 0.255477
-1213918618	-1213497382		0.623435 0.040095 -0.011491 0.780762	0.041735 1.165358 0.255512
-1213904759	-1213497372		0.622997 0.038124 -0.013595 0.781176	0.042699 1.165151 0.255796
-1213890823	-1213497362		0.622924 0.036171 -0.015056 0.781300	0.043580 1.164948 0.256120
-1213876840	-1213497352		0.622717 0.034281 -0.015794 0.781536	0.044493 1.164746 0.256488
-1213862992	-1213497342		0.622684 0.031878 -0.016275 0.781654	0.045380 1.164554 0.256737
-1213849068	-1213497331		0.622708 0.028538 -0.016798 0.781753	0.046138 1.164301 0.256857
-1213835084	-1213497322		0.622590 0.025846 -0.017263 0.781931	0.046713 1.164160 0.256934
-1213821218	-1213497312		0.622941 0.023859 -0.017372 0.781712	0.047272 1.164116 0.257104
-1213807301	-1213497299		0.623265 0.021735 -0.017180 0.781520	0.047773 1.164047 0.257210
-1213793306	-1213497288		0.623384 0.019651 -0.016799 0.781488	0.048242 1.163767 0.257099
-1213779429	-1213497278		0.623494 0.018121 -0.017014 0.781433	0.048684 1.163528 0.256906
-1213765511	-1213497267		0.623436 0.016792 -0.017459 0.781499	0.049115 1.163435 0.256729
-1213751609	-1213497257		0.623865 0.015217 -0.017838 0.781181	0.049478 1.163436 0.256514
-1213737669	-1213497248		0.623796 0.013580 -0.018154 0.781258	0.049746 1.163416 0.256323
-1213723758	-1213461955		0.623401 0.012455 -0.018464 0.781585	0.049989 1.163351 0.256074
-1213709819	-1213461921		0.622629 0.011797 -0.019145 0.782194	0.050228 1.163274 0.255968
-1213695912	-1213461907		0.622353 0.011626 -0.020067 0.782393	0.050492 1.163297 0.255931
-1213681937	-1213461896		0.621813 0.011243 -0.020605 0.782814	0.050791 1.163262 0.256026
-1213668068	-1213461886		0.621570 0.010627 -0.020811 0.783010	0.050997 1.163149 0.255964
-1213654133	-1213461876		0.621267 0.010917 -0.020832 0.783246	0.051101 1.163030 0.255942
